som_mouse_1_1,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,Part of,Is a,Part of,Is a,Part of,Is a,Part of,Description
0.014382,9636,response to toxin,biological process,42221,response to chemical stimulus,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a toxin stimulus. [GOC:lr]"
0.014382,45777,positive regulation of blood pressure,biological process,8217,regulation of blood pressure,,,,,,,"Any process in which the force of blood traveling through the circulatory system is increased. [GOC:go_curators, GOC:mtg_cardio]"
0.014854,46888,negative regulation of hormone secretion,biological process,46883,regulation of hormone secretion,48523,negative regulation of cellular process,51048,negative regulation of secretion,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of the regulated release of a hormone from a cell or group of cells. [GOC:ai]"
0.016033,7389,pattern specification process,biological process,32502,developmental process,,,,,,,"Any developmental process that results in the creation of defined areas or spaces within an organism to which cells respond and eventually are instructed to differentiate. [GOC:go_curators, GOC:isa_complete, ISBN:0521436125]"
0.016966,34765,regulation of ion transmembrane transport,biological process,34762,regulation of transmembrane transport,43269,regulation of ion transport,,,,,"Any process that modulates the frequency, rate or extent of the directed movement of ions from one side of a membrane to the other. [GOC:mah]"
0.020348,1707,mesoderm formation,biological process,1704,formation of primary germ layer,,,,,,,The process that gives rise to the mesoderm. This process pertains to the initial formation of the structure from unspecified parts. [GOC:go_curators]
0.020348,9798,axis specification,biological process,7389,pattern specification process,,,,,,,"The establishment, maintenance and elaboration of a pattern along a line or around a point. [GOC:dph, GOC:go_curators, GOC:isa_complete]"
0.020348,15758,glucose transport,biological process,8645,hexose transport,,,,,,,"The directed movement of the hexose monosaccharide glucose into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"
0.020348,33209,tumor necrosis factor-mediated signaling pathway,biological process,19221,cytokine-mediated signaling pathway,71356,cellular response to tumor necrosis factor,,,,,"A series of molecular signals initiated by the binding of a tumor necrosis factor to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:mah, GOC:signaling]"
0.022181,42742,defense response to bacterium,biological process,6952,defense response,9617,response to bacterium,,,,,Reactions triggered in response to the presence of a bacterium that act to protect the cell or organism. [GOC:jl]
0.024508,50731,positive regulation of peptidyl-tyrosine phosphorylation,biological process,1934,positive regulation of protein phosphorylation,50730,regulation of peptidyl-tyrosine phosphorylation,,,,,"Any process that activates or increases the frequency, rate or extent of the phosphorylation of peptidyl-tyrosine. [GOC:ai]"
0.026548,42756,drinking behavior,biological process,7631,feeding behavior,,,,,,,"The specific actions or reactions of an organism relating to the intake of liquids, especially water. [GOC:curators]"
0.026548,50806,positive regulation of synaptic transmission,biological process,50804,regulation of synaptic transmission,51971,positive regulation of transmission of nerve impulse,,,,,"Any process that activates or increases the frequency, rate or extent of synaptic transmission, the process of communication from a neuron to a target (neuron, muscle, or secretory cell) across a synapse. [GOC:ai]"
0.034238,16525,negative regulation of angiogenesis,biological process,45765,regulation of angiogenesis,51093,negative regulation of developmental process,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of angiogenesis. [GOC:go_curators]"
0.034238,45165,cell fate commitment,biological process,48869,cellular developmental process,,,,,,,The commitment of cells to specific cell fates and their capacity to differentiate into particular kinds of cells. Positional information is established through protein signals that emanate from a localized source within a cell (the initial one-cell zygote) or within a developmental field. [ISBN:0716731185]
0.040861,45778,positive regulation of ossification,biological process,30278,regulation of ossification,51240,positive regulation of multicellular organismal process,,,,,"Any process that activates or increases the frequency, rate or extent of bone formation. [GOC:go_curators]"
0.042901,43410,positive regulation of MAPK cascade,biological process,10740,positive regulation of intracellular protein kinase cascade,43408,regulation of MAPK cascade,,,,,"Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the MAPK cascade. [GOC:go_curators]"
0.048878,86,G2/M transition of mitotic cell cycle,biological process,22402,cell cycle process,,,,,,,Progression from G2 phase to M phase of the mitotic cell cycle. [GOC:mah]
0.048878,42113,B cell activation,biological process,46649,lymphocyte activation,,,,,,,"The change in morphology and behavior of a mature or immature B cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific. [GOC:mgi_curators, ISBN:0781735140]"
som_mouse_2_2,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.00032295,2553,histamine secretion by mast cell,biological process,2441,histamine secretion involved in inflammatory response,,,,,,,"The regulated release of histamine by a mast cell or group of mast cells. [GOC:add, ISBN:0781735149]"
0.00032295,7178,transmembrane receptor protein serine/threonine kinase signaling pathway,biological process,7167,enzyme linked receptor protein signaling pathway,,,,,,,"A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell where the receptor possesses serine/threonine kinase activity, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:mah, GOC:signaling]"
0.00032295,51603,proteolysis involved in cellular protein catabolic process,biological process,6508,proteolysis,,,,,,,"The hydrolysis of a peptide bond or bonds within a protein as part of the chemical reactions and pathways resulting in the breakdown of a protein by individual cells. [GOC:ai, GOC:dph, GOC:tb]"
0.0018922,45445,myoblast differentiation,biological process,42692,muscle cell differentiation,,,,,,,"The process in which a relatively unspecialized cell acquires specialized features of a myoblast. A myoblast is a mononucleate cell type that, by fusion with other myoblasts, gives rise to the myotubes that eventually develop into striated muscle fibers. [CL:0000056, GOC:go_curators, GOC:mtg_muscle]"
0.0031165,10759,positive regulation of macrophage chemotaxis,biological process,2690,positive regulation of leukocyte chemotaxis,10758,regulation of macrophage chemotaxis,71622,regulation of granulocyte chemotaxis,71675,regulation of mononuclear cell migration,"Any process that increases the rate, frequency or extent of macrophage chemotaxis. Macrophage chemotaxis is the movement of a macrophage in response to an external stimulus. [GOC:BHF, GOC:dph, GOC:tb]"
0.0031165,45765,regulation of angiogenesis,biological process,22603,regulation of anatomical structure morphogenesis,2000026,regulation of multicellular organismal development,,,,,"Any process that modulates the frequency, rate or extent of angiogenesis. [GOC:go_curators]"
0.0063916,35589,G-protein coupled purinergic nucleotide receptor signaling pathway,biological process,35588,G-protein coupled purinergic receptor signaling pathway,35590,purinergic nucleotide receptor signaling pathway,,,,,"The series of molecular signals generated as a consequence of a receptor binding to an extracellular purine nucleotide and transmitting the signal to a heterotrimeric G-protein complex to initiate a change in cell activity. [GOC:BHF, PMID:9755289]"
0.010702,43407,negative regulation of MAP kinase activity,biological process,43405,regulation of MAP kinase activity,71901,negative regulation of protein serine/threonine kinase activity,,,,,"Any process that stops, prevents, or reduces the frequency, rate or extent of MAP kinase activity. [GOC:dph, GOC:go_curators]"
0.014934,1525,angiogenesis,biological process,48646,anatomical structure formation involved in morphogenesis,,,,,,,Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels. [ISBN:0878932453]
0.01591,45087,innate immune response,biological process,6952,defense response,6955,immune response,,,,,"Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. [GO_REF:0000022, GOC:add, GOC:ebc, GOC:mtg_15nov05, GOC:mtg_sensu]"
0.017822,7154,cell communication,biological process,9987,cellular process,,,,,,,"Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment. [GOC:mah]"
0.025509,51291,protein heterooligomerization,biological process,51259,protein oligomerization,,,,,,,"The process of creating protein oligomers, compounds composed of a small number, usually between three and ten, of component monomers that are not all identical. Oligomers may be formed by the polymerization of a number of monomers or the depolymerization of a large protein polymer. [GOC:ai]"
0.036812,42102,positive regulation of T cell proliferation,biological process,42129,regulation of T cell proliferation,50671,positive regulation of lymphocyte proliferation,50870,positive regulation of T cell activation,,,Any process that activates or increases the rate or extent of T cell proliferation. [GOC:ai]
0.040934,7160,cell-matrix adhesion,biological process,31589,cell-substrate adhesion,,,,,,,The binding of a cell to the extracellular matrix via adhesion molecules. [GOC:hb]
0.049666,8104,protein localization,biological process,33036,macromolecule localization,,,,,,,"Any process in which a protein is transported to, or maintained in, a specific location. [GOC:ai]"
0.049666,30326,embryonic limb morphogenesis,biological process,35108,limb morphogenesis,35113,embryonic appendage morphogenesis,,,,,"The process, occurring in the embryo, by which the anatomical structures of the limb are generated and organized. A limb is an appendage of an animal used for locomotion or grasping. [GOC:bf, GOC:jl, ISBN:0395825172]"
som_mouse_2_3,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.00091551,6898,receptor-mediated endocytosis,biological process,6897,endocytosis,,,,,,,"An endocytosis process in which cell surface receptors ensure specificity of transport. A specific receptor on the cell surface binds tightly to the extracellular macromolecule (the ligand) that it recognizes; the plasma-membrane region containing the receptor-ligand complex then undergoes endocytosis, forming a transport vesicle containing the receptor-ligand complex and excluding most other plasma-membrane proteins. Receptor-mediated endocytosis generally occurs via clathrin-coated pits and vesicles. [GOC:mah, ISBN:0716731363]"
0.0016814,6833,water transport,biological process,42044,fluid transport,,,,,,,"The directed movement of water (H2O) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"
0.039094,7605,sensory perception of sound,biological process,50954,sensory perception of mechanical stimulus,,,,,,,"The series of events required for an organism to receive an auditory stimulus, convert it to a molecular signal, and recognize and characterize the signal. Sonic stimuli are detected in the form of vibrations and are processed to form a sound. [GOC:ai]"
0.043464,6917,induction of apoptosis,biological process,12502,induction of programmed cell death,43065,positive regulation of apoptotic process,,,,,A process that directly activates any of the steps required for cell death by apoptosis. [GOC:go_curators]
0.048008,10466,negative regulation of peptidase activity,biological process,51346,negative regulation of hydrolase activity,52547,regulation of peptidase activity,,,,,"Any process that stops or reduces the rate of peptidase activity, the hydrolysis of peptide bonds within proteins. [GOC:dph, GOC:tb]"
som_mouse_2_4,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.028824,8610,lipid biosynthetic process,biological process,6629,lipid metabolic process,9058,biosynthetic process,,,,,"The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. [GOC:go_curators]"
0.031076,45087,innate immune response,biological process,6952,defense response,6955,immune response,,,,,"Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens. [GO_REF:0000022, GOC:add, GOC:ebc, GOC:mtg_15nov05, GOC:mtg_sensu]"
som_mouse_2_5,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.0017568,51491,positive regulation of filopodium assembly,biological process,31346,positive regulation of cell projection organization,51489,regulation of filopodium assembly,,,,,"Any process that activates or increases the frequency, rate or extent of the assembly of a filopodium, a thin, stiff protrusion extended by the leading edge of a motile cell such as a crawling fibroblast or amoeba, or an axonal growth cone. [GOC:ai, GOC:dph, GOC:tb]"
0.0017568,70936,protein K48-linked ubiquitination,biological process,209,protein polyubiquitination,,,,,,,"A protein ubiquitination process in which a polymer of ubiquitin, formed by linkages between lysine residues at position 48 of the ubiquitin monomers, is added to a protein. K48-linked ubiquitination targets the substrate protein for degradation. [GOC:cvs, PMID:15556404]"
0.0078334,33198,response to ATP,biological process,10033,response to organic substance,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ATP (adenosine 5'-triphosphate) stimulus. [GOC:sl]"
0.0099579,90023,positive regulation of neutrophil chemotaxis,biological process,2690,positive regulation of leukocyte chemotaxis,90022,regulation of neutrophil chemotaxis,,,,,"Any process that increases the frequency, rate, or extent of neutrophil chemotaxis. Neutrophil chemotaxis is the directed movement of a neutrophil cell, the most numerous polymorphonuclear leukocyte found in the blood, in response to an external stimulus, usually an infection or wounding. [GOC:dph, GOC:tb]"
0.012307,8624,induction of apoptosis by extracellular signals,biological process,6917,induction of apoptosis,,,,,,,Any process induced by extracellular signals that directly activates any of the steps required for cell death by apoptosis. [GOC:ai]
0.013448,8360,regulation of cell shape,biological process,22604,regulation of cell morphogenesis,65008,regulation of biological quality,,,,,"Any process that modulates the surface configuration of a cell. [GOC:dph, GOC:go_curators, GOC:tb]"
0.017647,1541,ovarian follicle development,biological process,22602,ovulation cycle process,,,,,,,"The process whose specific outcome is the progression of the ovarian follicle over time, from its formation to the mature structure. [GOC:go_curators]"
0.027141,7286,spermatid development,biological process,7281,germ cell development,,,,,,,"The process whose specific outcome is the progression of a spermatid over time, from its formation to the mature structure. [GOC:dph, GOC:go_curators]"
0.027141,48706,embryonic skeletal system development,biological process,1501,skeletal system development,,,,,,,"The process, occurring during the embryonic phase, whose specific outcome is the progression of the skeleton over time, from its formation to the mature structure. [GOC:dph, GOC:dsf, GOC:jid, GOC:tb, PMID:16049113]"
0.046435,16192,vesicle-mediated transport,biological process,6810,transport,,,,,,,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane. [GOC:ai, GOC:mah, ISBN:08789310662000]"
som_mouse_2_6,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.00066248,42448,progesterone metabolic process,biological process,8207,C21-steroid hormone metabolic process,,,,,,,"The chemical reactions and pathways involving progesterone, a steroid hormone produced in the ovary which prepares and maintains the uterus for pregnancy. Also found in plants. [GOC:jl, http://www.cogsci.princeton.edu/]"
0.0016509,19236,response to pheromone,biological process,10033,response to organic substance,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a pheromone stimulus. [GOC:jl]"
0.0071495,6663,platelet activating factor biosynthetic process,biological process,46469,platelet activating factor metabolic process,46474,glycerophospholipid biosynthetic process,,,,,"The chemical reactions and pathways resulting in the formation of platelet activating factor, 1-O-alkyl-2-acetyl-sn-glycerol 3-phosphocholine, where alkyl = hexadecyl or octadecyl. Platelet activating factor is an inflammatory mediator released from a variety of cells in response to various stimuli. [ISBN:0198547684]"
0.0071495,45762,positive regulation of adenylate cyclase activity,biological process,30819,positive regulation of cAMP biosynthetic process,31281,positive regulation of cyclase activity,45761,regulation of adenylate cyclase activity,51349,positive regulation of lyase activity,"Any process that activates or increases the frequency, rate or extent of adenylate cyclase activity. [GOC:go_curators]"
0.0071495,51970,negative regulation of transmission of nerve impulse,biological process,10648,negative regulation of cell communication,23057,negative regulation of signaling,31645,negative regulation of neurological system process,51969,regulation of transmission of nerve impulse,"Any process that stops, prevents, or reduces the frequency, rate or extent of transmission of a nerve impulse, the sequential electrochemical polarization and depolarization that travels across the membrane of a neuron in response to stimulation. [GOC:ai]"
0.0071495,70584,mitochondrion morphogenesis,biological process,7005,mitochondrion organization,32990,cell part morphogenesis,,,,,The process in which the anatomical structures of a mitochondrion are generated and organized. [GOC:mah]
0.016286,31623,receptor internalization,biological process,6898,receptor-mediated endocytosis,43112,receptor metabolic process,,,,,"A receptor-mediated endocytosis process that results in the movement of receptors from the plasma membrane to the inside of the cell. The process begins when cell surface receptors are monoubiquitinated following ligand-induced activation. Receptors are subsequently taken up into endocytic vesicles from where they are either targeted to the lysosome or vacuole for degradation or recycled back to the plasma membrane. [GOC:bf, GOC:mah, GOC:signaling, PMID:15006537, PMID:19643732]"
0.020243,16032,viral reproduction,biological process,8150,biological_process,,,,,,,"The process in which a virus reproduces. Usually, this is by infection of a host cell, replication of the viral genome, and assembly of progeny virus particles. In some cases the viral genetic material may integrate into the host genome and only subsequently, under particular circumstances, 'complete' its life cycle. [GOC:mah]"
0.020243,35457,cellular response to interferon-alpha,biological process,35455,response to interferon-alpha,71345,cellular response to cytokine stimulus,,,,,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-alpha stimulus. Interferon-alpha is a type I interferon. [GOC:sl]"
0.020243,42574,retinal metabolic process,biological process,1523,retinoid metabolic process,6081,cellular aldehyde metabolic process,6776,vitamin A metabolic process,43288,apocarotenoid metabolic process,"The chemical reactions and pathways involving retinal, a compound that plays an important role in the visual process in most vertebrates. In the retina, retinal combines with opsins to form visual pigments. Retinal is one of the forms of vitamin A. [CHEBI:15035, GOC:curators, ISBN:0198506732]"
0.02268,30819,positive regulation of cAMP biosynthetic process,biological process,30804,positive regulation of cyclic nucleotide biosynthetic process,30816,positive regulation of cAMP metabolic process,30817,regulation of cAMP biosynthetic process,,,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of the nucleotide cAMP (cyclic AMP, adenosine 3',5'-cyclophosphate). [GOC:mah]"
0.038226,6957,"complement activation, alternative pathway",biological process,6956,complement activation,45087,innate immune response,,,,,"Any process involved in the activation of any of the steps of the alternative pathway of the complement cascade which allows for the direct killing of microbes and the regulation of other immune processes. [GOC:add, ISBN:0781735149]"
0.038226,7190,activation of adenylate cyclase activity,biological process,45762,positive regulation of adenylate cyclase activity,,,,,,,Any process that initiates the activity of the inactive enzyme adenylate cyclase. [GOC:ai]
0.038226,9404,toxin metabolic process,biological process,19748,secondary metabolic process,44237,cellular metabolic process,,,,,"The chemical reactions and pathways involving a toxin, a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism. [GOC:cab2]"
0.038226,30856,regulation of epithelial cell differentiation,biological process,45595,regulation of cell differentiation,2000026,regulation of multicellular organismal development,,,,,"Any process that modulates the frequency, rate or extent of epithelial cell differentiation. [GOC:mah]"
0.038226,45475,locomotor rhythm,biological process,7626,locomotory behavior,48512,circadian behavior,,,,,The rhythm of the locomotor activity of an organism during its 24 hour activity cycle. [GOC:go_curators]
0.038226,45651,positive regulation of macrophage differentiation,biological process,2763,positive regulation of myeloid leukocyte differentiation,45649,regulation of macrophage differentiation,,,,,"Any process that activates or increases the frequency, rate or extent of macrophage differentiation. [GOC:go_curators]"
0.038226,51461,positive regulation of corticotropin secretion,biological process,46887,positive regulation of hormone secretion,51459,regulation of corticotropin secretion,,,,,"Any process that activates or increases the frequency, rate or extent of the regulated release of corticotropin hormone from a cell or group of cells. [GOC:ai]"
0.038226,71276,cellular response to cadmium ion,biological process,46686,response to cadmium ion,71248,cellular response to metal ion,,,,,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cadmium (Cd) ion stimulus. [GOC:mah]"
0.040654,70482,response to oxygen levels,biological process,42221,response to chemical stimulus,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen. [GOC:BHF, GOC:mah]"
0.046124,17144,drug metabolic process,biological process,44237,cellular metabolic process,,,,,,,"The chemical reactions and pathways involving a drug, a substance used in the diagnosis, treatment or prevention of a disease; as used here antibiotic substances (see antibiotic metabolism) are considered to be drugs, even if not used in medical or veterinary practice. [GOC:cab2]"
0.046124,31424,keratinization,biological process,32502,developmental process,,,,,,,"The process in which the cytoplasm of the outermost cells of the vertebrate epidermis is replaced by keratin. Keratinization occurs in the stratum corneum, feathers, hair, claws, nails, hooves, and horns. [GOC:dph, GOC:ebc, GOC:sdb_2009, GOC:tb]"
0.046124,35458,cellular response to interferon-beta,biological process,35456,response to interferon-beta,71345,cellular response to cytokine stimulus,,,,,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interferon-beta stimulus. Interferon-beta is a type I interferon. [GOC:sl]"
som_mouse_3_1,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
2.32E-05,9086,methionine biosynthetic process,biological process,97,sulfur amino acid biosynthetic process,6555,methionine metabolic process,9067,aspartate family amino acid biosynthetic process,,,"The chemical reactions and pathways resulting in the formation of methionine (2-amino-4-(methylthio)butanoic acid), a sulfur-containing, essential amino acid found in peptide linkage in proteins. [GOC:jl, ISBN:0198506732]"
0.00016032,48705,skeletal system morphogenesis,biological process,9887,organ morphogenesis,,,,,,,"The process in which the anatomical structures of the skeleton are generated and organized. [GOC:dph, GOC:dsf, GOC:jid, GOC:tb]"
0.0019268,42490,mechanoreceptor differentiation,biological process,30182,neuron differentiation,,,,,,,"The process in which a relatively unspecialized cell acquires specialized features of a mechanoreceptor, a cell specialized to transduce mechanical stimuli and relay that information centrally in the nervous system. [CL:0000199, GOC:jl]"
0.0065064,48167,regulation of synaptic plasticity,biological process,50804,regulation of synaptic transmission,65008,regulation of biological quality,,,,,"A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers. [GOC:dph, GOC:jid, GOC:tb, http://www.mercksource.com, PMID:11891290]"
0.010964,42493,response to drug,biological process,42221,response to chemical stimulus,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a drug stimulus. A drug is a substance used in the diagnosis, treatment or prevention of a disease. [GOC:jl]"
0.013453,35108,limb morphogenesis,biological process,35107,appendage morphogenesis,,,,,,,"The process in which the anatomical structures of a limb are generated and organized. A limb is an appendage of an animal used for locomotion or grasping. Examples include legs, arms or some types of fin. [ISBN:0395825172]"
0.015399,1525,angiogenesis,biological process,48646,anatomical structure formation involved in morphogenesis,,,,,,,Blood vessel formation when new vessels emerge from the proliferation of pre-existing blood vessels. [ISBN:0878932453]
0.019269,60325,face morphogenesis,biological process,9653,anatomical structure morphogenesis,,,,,,,The process in which the anatomical structures of the face are generated and organized. The face is the ventral division of the head. [GOC:dph]
0.025947,8344,adult locomotory behavior,biological process,7626,locomotory behavior,30534,adult behavior,,,,,Locomotory behavior in a fully developed and mature organism. [GOC:ai]
0.041619,51607,defense response to virus,biological process,2252,immune effector process,6952,defense response,9615,response to virus,,,Reactions triggered in response to the presence of a virus that act to protect the cell or organism. [GOC:ai]
0.045973,9791,post-embryonic development,biological process,32502,developmental process,,,,,,,"The process whose specific outcome is the progression of the organism over time, from the completion of embryonic development to the mature structure. See embryonic development. [GOC:go_curators]"
som_mouse_3_2,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.0011793,42119,neutrophil activation,biological process,2274,myeloid leukocyte activation,,,,,,,"The change in morphology and behavior of a neutrophil resulting from exposure to a cytokine, chemokine, cellular ligand, or soluble factor. [GOC:mgi_curators, ISBN:0781735149]"
0.0038286,6364,rRNA processing,biological process,16072,rRNA metabolic process,34470,ncRNA processing,,,,,Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules. [GOC:curators]
0.0038286,10862,positive regulation of pathway-restricted SMAD protein phosphorylation,biological process,1934,positive regulation of protein phosphorylation,60393,regulation of pathway-restricted SMAD protein phosphorylation,90100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,,,"Any process that increases the rate, frequency or extent of pathway-restricted SMAD protein phosphorylation. Pathway-restricted SMAD proteins and common-partner SMAD proteins are involved in the transforming growth factor beta receptor signaling pathways. [GOC:dph, GOC:tb]"
0.0078313,19433,triglyceride catabolic process,biological process,6641,triglyceride metabolic process,46464,acylglycerol catabolic process,,,,,"The chemical reactions and pathways resulting in the breakdown of a triglyceride, any triester of glycerol. [ISBN:0198506732]"
0.0388,6955,immune response,biological process,2376,immune system process,50896,response to stimulus,,,,,"Any immune system process that functions in the calibrated response of an organism to a potential internal or invasive threat. [GO_REF:0000022, GOC:add, GOC:mtg_15nov05]"
0.04452,42102,positive regulation of T cell proliferation,biological process,42129,regulation of T cell proliferation,50671,positive regulation of lymphocyte proliferation,50870,positive regulation of T cell activation,,,Any process that activates or increases the rate or extent of T cell proliferation. [GOC:ai]
som_mouse_3_3,,,,,,,,,,,,
p-value,GO ID,Name,Type,Is a,,Is a,,Is a,,,,Description
0.00095515,32735,positive regulation of interleukin-12 production,biological process,1819,positive regulation of cytokine production,32655,regulation of interleukin-12 production,,,,,"Any process that activates or increases the frequency, rate, or extent of interleukin-12 production. [GOC:mah]"
0.0020902,19236,response to pheromone,biological process,10033,response to organic substance,,,,,,,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a pheromone stimulus. [GOC:jl]"
0.0038562,7606,sensory perception of chemical stimulus,biological process,7600,sensory perception,,,,,,,"The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process. [GOC:ai]"
0.0041193,60577,pulmonary vein morphogenesis,biological process,48845,venous blood vessel morphogenesis,,,,,,,The process in which the anatomical structure of the pulmonary venous blood vessels are generated and organized. Pulmonary veins are blood vessels that transport blood from the lungs to the heart. [GOC:dph]
0.0054943,45785,positive regulation of cell adhesion,biological process,30155,regulation of cell adhesion,48522,positive regulation of cellular process,,,,,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]"
0.011564,32733,positive regulation of interleukin-10 production,biological process,1819,positive regulation of cytokine production,32653,regulation of interleukin-10 production,,,,,"Any process that activates or increases the frequency, rate, or extent of interleukin-10 production. [GOC:mah]"
0.011831,34393,positive regulation of smooth muscle cell apoptotic process,biological process,10661,positive regulation of muscle cell apoptotic process,34391,regulation of smooth muscle cell apoptotic process,,,,,"Any process that activates or increases the frequency, rate, or extent of smooth muscle cell apoptosis. [GOC:BHF, GOC:rl]"
0.011831,51023,regulation of immunoglobulin secretion,biological process,2637,regulation of immunoglobulin production,50708,regulation of protein secretion,,,,,"Any process that modulates the frequency, rate or extent of the regulated release of immunoglobulins from a cell or group of cells. [GOC:ai]"
0.011831,2000353,positive regulation of endothelial cell apoptotic process,biological process,43065,positive regulation of apoptotic process,2000351,regulation of endothelial cell apoptotic process,,,,,"Any process that activates or increases the frequency, rate or extent of endothelial cell apoptosis. [GOC:BHF, GOC:mah]"
0.022506,42491,auditory receptor cell differentiation,biological process,60113,inner ear receptor cell differentiation,,,,,,,"The process in which a relatively unspecialized cell acquires specialized features of an auditory hair cell. [CL:0000201, GOC:jl]"
0.022659,2839,positive regulation of immune response to tumor cell,biological process,2836,positive regulation of response to tumor cell,2837,regulation of immune response to tumor cell,50778,positive regulation of immune response,,,"Any process that activates or increases the frequency, rate, or extent of an immune response to tumor cell. [GOC:add]"
0.022659,7341,penetration of zona pellucida,biological process,48609,multicellular organismal reproductive process,,,,,,,"The infiltration by sperm of the zona pellucida to reach the oocyte. The process involves digestive enzymes from a modified lysosome called the acrosome, situated at the head of the sperm. [GOC:jl, http://arbl.cvmbs.colostate.edu/hbooks/pathphys/reprod/fert/fert.html]"
0.022659,50957,equilibrioception,biological process,7600,sensory perception,,,,,,,"The series of events required for an organism to receive an orientational stimulus, convert it to a molecular signal, and recognize and characterize the signal. Equilibrioception refers to a combination of processes by which an organism can perceive its orientation with respect to gravity. In animals, stimuli come from labyrinth system of the inner ears, monitoring the direction of motion; visual stimuli, with information on orientation and motion; pressure receptors, which tell the organism which body surfaces are in contact with the ground; and proprioceptive cues, which report which parts of the body are in motion. [http://www.medterms.com, http://www.onelook.com/]"
0.022659,1900116,extracellular negative regulation of signal transduction,biological process,9968,negative regulation of signal transduction,1900115,extracellular regulation of signal transduction,,,,,"Any negative regulation of signal transduction that takes place in extracellular region. [GOC:signaling, GOC:TermGenie]"
0.025012,51607,defense response to virus,biological process,2252,immune effector process,6952,defense response,9615,response to virus,,,Reactions triggered in response to the presence of a virus that act to protect the cell or organism. [GOC:ai]
0.0295,31214,biomineral tissue development,biological process,9888,tissue development,,,,,,,"Formation of hard tissues that consist mainly of inorganic compounds, and also contain a small amounts of organic matrices that are believed to play important roles in their formation. [PMID:15132736]"
